## ① 読みの食い違い（雑音の型を除く）: 行 | 語 | 読み→音 | 位置 | 語の GOP
c103-1 | 0.40 | 0.32 | 無印 | 実は｜二
c103-1 | 4.34 | 0.14 | 無印 | が｜空中
c103-2 | 2.44 | 0.28 | 無印 | に｜こう
c104-2 | 2.24 | 0.30 | 無印 | と｜メーカー
c105-1 | 2.56 | 0.30 | 無印 | は｜四
c106-2 | 3.76 | 0.12 | 無印 | いっき｜いっき
c107-1 | 1.46 | 0.12 | 無印 | みっ｜みっ
c107-3 | 2.30 | 0.14 | 無印 | 入っ｜入っ
c110-1 | 4.08 | 0.12 | 無印 | 入っ｜入っ
c110-2 | 3.66 | 0.22 | 無印 | の｜切れ目
c202-1 | 4.20 | 0.20 | 無印 | ある｜大型
c202-2 | 0.68 | 0.22 | 無印 | は｜千
c202-2 | 4.28 | 0.22 | 無印 | に｜トルコ
c204-1 | 0.88 | 0.30 | 無印 | の｜午前
c204-1 | 5.18 | 0.32 | 無印 | に｜オルリー
c204-3 | 2.86 | 0.24 | 無印 | が｜パリ
c206-1 | 0.86 | 0.30 | 無印 | は｜いちじ
c206-1 | 3.12 | 0.18 | 無印 | かん｜さん
c208-2 | 2.04 | 0.44 | 無印 | そのうち｜後ろ
c209-3 | 2.70 | 0.34 | 無印 | から｜この
c210-1 | 3.12 | 0.30 | 無印 | て｜こう
c210-2 | 0.70 | 0.20 | 無印 | と｜ドア
c210-2 | 3.72 | 0.30 | 無印 | それから｜錠
c212-1 | 2.12 | 0.30 | 無印 | は｜こう
c212-2 | 1.54 | 0.36 | 無印 | は｜きちんと
c215-1 | 3.40 | 0.30 | 無印 | で｜やっ
c215-1 | 3.86 | 0.12 | 無印 | やっ｜やっ
c216-1 | 3.24 | 0.26 | 無印 | た｜主任
c219-1 | 3.64 | 0.12 | 無印 | 要っ｜要っ
c219-2 | 2.08 | 0.34 | 無印 | て｜きゅう
c220-1 | 3.26 | 0.38 | 無印 | は｜東
c220-1 | 4.48 | 0.24 | 無印 | て｜滑走
c221-1 | 2.14 | 0.28 | 無印 | を｜こう
c221-2 | 3.54 | 0.22 | 無印 | は｜気づか
c304-2 | 0.48 | 0.24 | 無印 | が｜胴体
c305-2 | 0.84 | 0.14 | 無印 | が｜フック
c306-1 | 3.82 | 0.12 | 無印 | みっ｜みっ
c309-1 | 3.74 | 0.30 | 無印 | 開い｜開い
c310-1 | 3.28 | 0.32 | 無印 | から｜ピン
c316-3 | 2.94 | 0.24 | 無印 | は｜気づけ
c317-2 | 2.54 | 0.26 | 無印 | は｜三
c318-2 | 0.46 | 0.38 | 無印 | 実は｜フック
c319-2 | 3.26 | 0.30 | 無印 | は｜外
c320-1 | 2.32 | 0.28 | 無印 | は｜一気に
